id,add01,title01,add02,title
8095,"""",Cleopatra,"""","""Cleopatra"""
8129,"""",My Name Is Joe,"""","""My Name Is Joe"""
8130,"""",Desperately Seeking Susan,"""","""Desperately Seeking Susan"""
8141,"""",You Kill Me,"""","""You Kill Me"""
8193,"""",Napoleon Dynamite,"""","""Napoleon Dynamite"""
8194,"""",A Guide To Recognizing Your Saints,"""","""A Guide To Recognizing Your Saints"""
8195,"""",Ronin,"""","""Ronin"""
8197,"""",Midnight in the Garden of Good and Evil,"""","""Midnight in the Garden of Good and Evil"""
8198,"""",The Quiet American,"""","""The Quiet American"""
8202,"""",Æon Flux,"""","""Æon Flux"""
8204,"""",The Spiderwick Chronicles,"""","""The Spiderwick Chronicles"""
8208,"""",The Man Who Knew Too Much,"""","""The Man Who Knew Too Much"""
8216,"""",Meet the Feebles,"""","""Meet the Feebles"""
8217,"""",Alice,"""","""Alice"""
8219,"""",Labyrinth of Passion,"""","""Labyrinth of Passion"""
8220,"""",Dark Habits,"""","""Dark Habits"""
8223,"""",Kika,"""","""Kika"""
8224,"""",8MM,"""","""8MM"""
8247,"""",Jumper,"""","""Jumper"""
8270,"""",The Lookout,"""","""The Lookout"""
8271,"""",Disturbia,"""","""Disturbia"""
8272,"""",The Savages,"""","""The Savages"""
8273,"""",American Wedding,"""","""American Wedding"""
8274,"""",American Pie Presents: Band Camp,"""","""American Pie Presents: Band Camp"""
8275,"""",American Pie Presents: The Naked Mile,"""","""American Pie Presents: The Naked Mile"""
8276,"""",I've Loved You So Long,"""","""I've Loved You So Long"""
8277,"""",American Pie Presents: Beta House,"""","""American Pie Presents: Beta House"""
8282,"""",Summer Hours,"""","""Summer Hours"""
8284,"""",The Limits of Control,"""","""The Limits of Control"""
8285,"""",The Spirit,"""","""The Spirit"""
8288,"""",A Midsummer Night's Sex Comedy,"""","""A Midsummer Night's Sex Comedy"""
8289,"""",Gorky Park,"""","""Gorky Park"""
8291,"""",Poetic Justice,"""","""Poetic Justice"""
8292,"""",Four Brothers,"""","""Four Brothers"""
8293,"""",Howards End,"""","""Howards End"""
8321,"""",In Bruges,"""","""In Bruges"""
8326,"""",Holes,"""","""Holes"""
8327,"""",The Holy Mountain,"""","""The Holy Mountain"""
8328,"""",Step Up 2: The Streets,"""","""Step Up 2: The Streets"""
8329,"""",[REC],"""","""[REC]"""
8333,"""",The Taking of Pelham One Two Three,"""","""The Taking of Pelham One Two Three"""
8337,"""",They Live,"""","""They Live"""
8341,"""",Samsara,"""","""Samsara"""
8342,"""",No Man's Land,"""","""No Man's Land"""
8346,"""",My Big Fat Greek Wedding,"""","""My Big Fat Greek Wedding"""
8348,"""",Thunderbolt and Lightfoot,"""","""Thunderbolt and Lightfoot"""
8353,"""",Limite,"""","""Limite"""
8355,"""",Ice Age: Dawn of the Dinosaurs,"""","""Ice Age: Dawn of the Dinosaurs"""
8356,"""",An Affair to Remember,"""","""An Affair to Remember"""
8357,"""",What the #$*! Do We (K)now!?,"""","""What the #$*! Do We (K)now!?"""
8358,"""",Cast Away,"""","""Cast Away"""
8363,"""",Superbad,"""","""Superbad"""
8367,"""",Robin Hood: Prince of Thieves,"""","""Robin Hood: Prince of Thieves"""
8373,"""",Transformers: Revenge of the Fallen,"""","""Transformers: Revenge of the Fallen"""
8374,"""",The Boondock Saints,"""","""The Boondock Saints"""
8386,"""",How High,"""","""How High"""
8388,"""",¡Three Amigos!,"""","""¡Three Amigos!"""
8390,"""","Definitely, Maybe","""","""Definitely, Maybe"""
8391,"""",When Night Is Falling,"""","""When Night Is Falling"""
8392,"""",My Neighbor Totoro,"""","""My Neighbor Totoro"""
8393,"""",The Gods Must Be Crazy,"""","""The Gods Must Be Crazy"""
8398,"""",The Hitcher,"""","""The Hitcher"""
8408,"""",Day of the Dead,"""","""Day of the Dead"""
8410,"""",The Wild Blue Yonder,"""","""The Wild Blue Yonder"""
8413,"""",Event Horizon,"""","""Event Horizon"""
8416,"""",The Conformist,"""","""The Conformist"""
8420,"""",...And God Created Woman,"""","""...And God Created Woman"""
8424,"""",Love Me If You Dare,"""","""Love Me If You Dare"""
8427,"""",I Spy,"""","""I Spy"""
8428,"""",Pump up the Volume,"""","""Pump up the Volume"""
8429,"""",Paisan,"""","""Paisan"""
8438,"""",Murder in the First,"""","""Murder in the First"""
8439,"""",Bus 174,"""","""Bus 174"""
8440,"""",Carandiru,"""","""Carandiru"""
8446,"""",Bugsy Malone,"""","""Bugsy Malone"""
8447,"""",Angels and Insects,"""","""Angels and Insects"""
8452,"""",The 6th Day,"""","""The 6th Day"""
8456,"""",Never Back Down,"""","""Never Back Down"""
8457,"""",Drillbit Taylor,"""","""Drillbit Taylor"""
8461,"""",Funny Games,"""","""Funny Games"""
8463,"""",Torch Song Trilogy,"""","""Torch Song Trilogy"""
8467,"""",Dumb and Dumber,"""","""Dumb and Dumber"""
8469,"""",Animal House,"""","""Animal House"""
8470,"""",John Q,"""","""John Q"""
8487,"""",Wild Wild West,"""","""Wild Wild West"""
8488,"""",Hitch,"""","""Hitch"""
8489,"""",Ali,"""","""Ali"""
8491,"""",Weekend at Bernie's,"""","""Weekend at Bernie's"""
8494,"""",Weekend at Bernie's II,"""","""Weekend at Bernie's II"""
8512,"""",Devil in a Blue Dress,"""","""Devil in a Blue Dress"""
8536,"""",Superman II,"""","""Superman II"""
8545,"""",Little Voice,"""","""Little Voice"""
8583,"""",Dangerous Beauty,"""","""Dangerous Beauty"""
8584,"""",Shanghai Noon,"""","""Shanghai Noon"""
8587,"""",The Lion King,"""","""The Lion King"""
8588,"""",Shooting Dogs,"""","""Shooting Dogs"""
8592,"""",Dick Tracy,"""","""Dick Tracy"""
8617,"""",Prom Night,"""","""Prom Night"""
8618,"""",The History Boys,"""","""The History Boys"""
8619,"""",Master and Commander: The Far Side of the World,"""","""Master and Commander: The Far Side of the World"""
8643,"""",The Exorcism of Emily Rose,"""","""The Exorcism of Emily Rose"""
8645,"""",The Happening,"""","""The Happening"""
8649,"""",Bringing Out the Dead,"""","""Bringing Out the Dead"""
8656,"""",Deep Impact,"""","""Deep Impact"""
8665,"""",K-19: The Widowmaker,"""","""K-19: The Widowmaker"""
8669,"""",Charlie Bartlett,"""","""Charlie Bartlett"""
8672,"""",My Best Fiend,"""","""My Best Fiend"""
8675,"""",Orgazmo,"""","""Orgazmo"""
8676,"""",Fool's Gold,"""","""Fool's Gold"""
8677,"""",The Bourne Identity,"""","""The Bourne Identity"""
8681,"""",Taken,"""","""Taken"""
8688,"""",Snake Eyes,"""","""Snake Eyes"""
8689,"""",Cannibal Holocaust,"""","""Cannibal Holocaust"""
8696,"""",Calendar Girls,"""","""Calendar Girls"""
